Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_St,Rndrng_Prvdr_City,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Tot_Benes,Tot_Submtd_Cvrd_Chrg,Tot_Pymt_Amt,Tot_Mdcr_Pymt_Amt,Tot_Dschrgs,Tot_Cvrd_Days,Tot_Days,Bene_Avg_Age,Bene_Age_LT_65_Cnt,Bene_Age_65_74_Cnt,Bene_Age_75_84_Cnt,Bene_Age_GT_84_Cnt,Bene_Feml_Cnt,Bene_Male_Cnt,Bene_Race_Wht_Cnt,Bene_Race_Black_Cnt,Bene_Race_API_Cnt,Bene_Race_Hspnc_Cnt,Bene_Race_NatInd_Cnt,Bene_Race_Othr_Cnt,Bene_Dual_Cnt,Bene_Ndual_Cnt,Bene_CC_BH_ADHD_OthCD_V1_Pct,Bene_CC_BH_Alcohol_Drug_V1_Pct,Bene_CC_BH_Tobacco_V1_Pct,Bene_CC_BH_Alz_NonAlzdem_V2_Pct,Bene_CC_BH_Anxiety_V1_Pct,Bene_CC_BH_Bipolar_V1_Pct,Bene_CC_BH_Mood_V2_Pct,Bene_CC_BH_Depress_V1_Pct,Bene_CC_BH_PD_V1_Pct,Bene_CC_BH_PTSD_V1_Pct,Bene_CC_BH_Schizo_OthPsy_V1_Pct,Bene_CC_PH_Asthma_V2_Pct,Bene_CC_PH_Afib_V2_Pct,Bene_CC_PH_Cancer6_V2_Pct,Bene_CC_PH_CKD_V2_Pct,Bene_CC_PH_COPD_V2_Pct,Bene_CC_PH_Diabetes_V2_Pct,Bene_CC_PH_HF_NonIHD_V2_Pct,Bene_CC_PH_Hyperlipidemia_V2_Pct,Bene_CC_PH_Hypertension_V2_Pct,Bene_CC_PH_IschemicHeart_V2_Pct,Bene_CC_PH_Osteoporosis_V2_Pct,Bene_CC_PH_Parkinson_V2_Pct,Bene_CC_PH_Arthritis_V2_Pct,Bene_CC_PH_Stroke_TIA_V2_Pct,Bene_Avg_Risk_Scre
10001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,36301,AL,1,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",3088,278526569,60345158,50914956,4059,23188,23955,74.74093264,388,975,1117,608,1600,1488,2548,452,15,24,,,779,2309,0.013601036,0.113989637,0.264572539,0.20984456,0.401554404,0.067033679,0.413536269,0.366580311,0.011981865,0.03238342,0.064119171,0.11496114,0.399287565,0.196891192,0.446891192,0.350064767,0.495790155,0.438147668,0.75,0.75,0.5,0.144430052,0.027202073,0.609132124,0.267810881,2.0048648
10005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,35957,AL,1,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1123,31478721,14642451,11823938,1410,7134,7381,76.19145147,142,305,411,265,634,489,1083,,,16,,12,322,801,0.011576135,0.128227961,0.253784506,0.272484417,0.406945681,0.081923419,0.414069457,0.3650935,0.007123776,0.020480855,0.052537845,0.089047195,0.370436331,0.18254675,0.43365984,0.430097952,0.43365984,0.482635797,0.75,0.75,0.473731078,0.166518255,0.047195013,0.606411398,0.264470169,1.723296633
10006,North Alabama Medical Center,1701 Veterans Drive,Florence,35630,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2634,215598957,44902549,37659141,3621,20645,21017,75.56454062,283,841,987,523,1454,1180,2440,146,,24,,24,587,2047,0.012528474,0.234244495,0.218678816,0.213363705,0.414578588,0.065299924,0.458618071,0.424069856,0.030372058,0.017843584,0.048595292,0.12642369,0.392938497,0.188306758,0.383447229,0.423690205,0.475322703,0.420273349,0.75,0.75,0.517084283,0.192482916,0.058466211,0.651100987,0.214123007,1.910259056
10007,Mizell Memorial Hospital,702 N Main St,Opp,36467,AL,1,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",252,5880788,3654041,3247319,353,1415,1445,76.07142857,30,67,97,58,139,113,233,18,,,,,96,156,0.023809524,0.142857143,0.25,0.369047619,0.503968254,0.099206349,0.507936508,0.436507937,0.027777778,0.015873016,0.119047619,0.142857143,0.428571429,0.154761905,0.492063492,0.531746032,0.507936508,0.523809524,0.75,0.75,0.440476191,0.111111111,0.075396825,0.603174603,0.194444444,1.935084822
10008,Crenshaw Community Hospital,101 Hospital Circle,Luverne,36049,AL,1,3,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",89,2504675,1038446,892139,123,613,621,77.23595506,,17,36,,49,40,73,15,,,,,35,54,0.011235955,0.168539326,0.247191011,0.359550562,0.426966292,0.123595506,0.460674157,0.382022472,0.011235955,0.056179775,0.101123596,0.078651685,0.382022472,0.191011236,0.426966292,0.460674157,0.449438202,0.303370787,0.75,0.75,0.426966292,0.202247191,0.033707865,0.550561798,0.179775281,1.617951634
10011,St Vincent's East,50 Medical Park East Drive,Birmingham,35235,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1943,160898192,36403238,29501414,2609,14769,15627,73.84920227,304,619,650,370,1024,919,1616,281,,21,,21,411,1532,0.026762738,0.16006176,0.226453937,0.222336593,0.432835821,0.103448276,0.468347916,0.427174473,0.085949563,0.032424087,0.109109624,0.115285641,0.399382398,0.162120432,0.446731858,0.359238291,0.462171899,0.430777149,0.75,0.75,0.528564076,0.117858981,0.034997427,0.505404014,0.212043232,2.098970215
10012,Dekalb Regional Medical Center,200 Med Center Drive,Fort Payne,35968,AL,1,10,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",454,40225683,6542387,5653036,571,1895,1953,75.17400881,51,146,165,92,261,193,436,,,,,,139,315,0.011013216,0.0969163,0.253303965,0.288546256,0.398678414,0.083700441,0.407488987,0.36123348,0.002202643,0.013215859,0.077092511,0.094713656,0.348017621,0.129955947,0.40969163,0.398678414,0.471365639,0.442731278,0.75,0.75,0.5,0.099118943,0.044052863,0.5969163,0.123348018,1.637160207
10016,Shelby Baptist Medical Center,1000 First Street North,Alabaster,35007,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1143,203688120,21558422,16808051,1504,7757,8336,75.70516186,128,348,430,237,595,548,1028,87,,12,,14,177,966,0.018372703,0.102362205,0.197725284,0.267716535,0.388451444,0.057742782,0.412948382,0.36920385,0.012248469,0.01399825,0.052493438,0.120734908,0.42432196,0.197725284,0.583552056,0.335958005,0.475940507,0.570428696,0.75,0.75,0.635170604,0.160979878,0.047244095,0.543307087,0.225721785,2.021403543
10018,Uab Callahan Eye Hospital Authority,1720 University Blvd Ste 305,Birmingham,35233,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",11,335890,232833,102774,11,27,31,73.63636364,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.090909091,0.272727273,0.181818182,0.181818182,0.181818182,0.090909091,0.636363636,0.75,0.272727273,0.090909091,0,0.636363636,0.090909091,0.743545455
10019,Helen Keller Memorial Hospital,1300 South Montgomery Avenue,Sheffield,35660,AL,1,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1152,43141083,13351469,11131447,1535,7338,7454,76.328125,112,351,426,263,679,473,1043,95,,,,,299,853,0.011284722,0.157986111,0.190972222,0.260416667,0.487847222,0.059027778,0.461805556,0.400173611,0.03125,0.014756944,0.0625,0.122395833,0.388888889,0.193576389,0.438368056,0.402777778,0.467013889,0.417534722,0.75,0.75,0.421006944,0.170138889,0.0546875,0.654513889,0.171006944,1.846072343
